model,num_atoms,atom_name,lattice_constant,time,std,precision,gpu
SevenNet-l3i5,8,C,3.567,34.07108783721924,84.41983812142269,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,64,C,3.567,36.40174865722656,1.5704452621271108,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,216,C,3.567,38.44606876373291,0.3646045177771738,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,512,C,3.567,52.51789093017578,1.3302549380677076,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,1000,C,3.567,57.40463733673096,3.0611310102373026,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,1728,C,3.567,68.24660301208496,28.023987041628537,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,2744,C,3.567,123.76904487609863,44.546649579681606,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,4096,C,3.567,164.33382034301758,35.46134502191366,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,5832,C,3.567,218.54710578918457,27.407854632010746,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,8000,C,3.567,296.10633850097656,63.307278666839466,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,10648,C,3.567,438.57407569885254,65.87974711927997,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,13824,C,3.567,545.2523231506348,50.874357936742264,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,17576,C,3.567,662.4883413314819,1.283948665576085,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,21952,C,3.567,903.7172794342041,5.854816589541629,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
SevenNet-l3i5,27000,C,3.567,1071.2974071502686,2.714820660572644,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Nequix-MP-1.5,8,C,3.567,13.178110122680664,0.3539519146892602,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Nequix-MP-1.5,64,C,3.567,9.500622749328613,0.21634076754097406,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Nequix-MP-1.5,216,C,3.567,35.111069679260254,1.589183743189261,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Nequix-MP-1.5,512,C,3.567,32.97150135040283,0.24981798780735864,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Nequix-MP-1.5,1000,C,3.567,90.29102325439453,0.7133027270452614,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Nequix-MP-1.5,1728,C,3.567,105.95118999481201,1.7474461275043667,float32,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
