model,atoms,time,std,gpu
eSEN-30M-MP,216,41754.67145442963,33809.12673131727,NVIDIA GeForce RTX 5080
Nequix-MP-1.5,8,10.0477933883667,0.4737020232409393,NVIDIA GeForce RTX 5080
Nequix-MP-1.5,64,5.511641502380371,0.23052588690288578,NVIDIA GeForce RTX 5080
Nequix-MP-1.5,216,21.5451717376709,0.37039352669197506,NVIDIA GeForce RTX 5080
Nequix-MP-1.5,512,27.08280086517334,0.3734928559836099,NVIDIA GeForce RTX 5080
Nequix-MP-1.5,1000,65.60647487640381,0.42269721649757824,NVIDIA GeForce RTX 5080
Nequix-MP-1.5,1728,84.71047878265381,0.7057180838965655,NVIDIA GeForce RTX 5080
Nequix-MP-1.5,2744,118.96276473999023,1.7054954043355337,NVIDIA GeForce RTX 5080
Nequix-MP-1,8,5.339980125427246,0.3468087662584325,NVIDIA GeForce RTX 5080
Nequix-MP-1,64,25.292277336120605,0.7490862779521239,NVIDIA GeForce RTX 5080
Nequix-MP-1,216,116.77217483520508,35.04433503609034,NVIDIA GeForce RTX 5080
Nequix-MP-1,512,259.5036029815674,25.68290642572977,NVIDIA GeForce RTX 5080
GRACE-2L-MPtrj,8,10.227799415588379,1.6952624691680394,NVIDIA GeForce RTX 5080
GRACE-2L-MPtrj,64,25.006890296936035,2.427951011926271,NVIDIA GeForce RTX 5080
GRACE-2L-MPtrj,216,81.6565752029419,1271.0217757213888,NVIDIA GeForce RTX 5080
GRACE-2L-MPtrj,512,154.2351245880127,3.6757303260748087,NVIDIA GeForce RTX 5080
GRACE-2L-MPtrj,1000,327.4977207183838,5.341609534248703,NVIDIA GeForce RTX 5080
GRACE-2L-MPtrj,1728,450.24192333221436,41.805969858367156,NVIDIA GeForce RTX 5080
MACE-MP-0,8,39.81339931488037,3.5924172867855635,NVIDIA GeForce RTX 5080
MACE-MP-0,64,42.26851463317871,4.0848259079625215,NVIDIA GeForce RTX 5080
MACE-MP-0,216,171.13232612609863,22.681711255885094,NVIDIA GeForce RTX 5080
MACE-MP-0,512,190.02413749694824,28.722793734023615,NVIDIA GeForce RTX 5080
MACE-MP-0,1000,273.93627166748047,31.532653375361043,NVIDIA GeForce RTX 5080
MACE-MP-0,1728,326.09641551971436,24.43296352899696,NVIDIA GeForce RTX 5080
MACE-MP-0,2744,406.6593647003174,29.62450107272831,NVIDIA GeForce RTX 5080
MACE-MP-0,4096,578.7559747695923,28.827857304013033,NVIDIA GeForce RTX 5080
NequIP-MP-L,8,4.608511924743652,0.26539457162712504,NVIDIA GeForce RTX 5080
NequIP-MP-L,64,9.82522964477539,0.36717196614312714,NVIDIA GeForce RTX 5080
NequIP-MP-L,216,109.43126678466797,17.723176003447076,NVIDIA GeForce RTX 5080
NequIP-MP-L,512,118.79324913024902,15.928249760873314,NVIDIA GeForce RTX 5080
NequIP-MP-L,1000,188.05336952209473,24.39798949083033,NVIDIA GeForce RTX 5080
NequIP-MP-L,1728,217.65029430389404,31.103132512021823,NVIDIA GeForce RTX 5080
eSEN-30M-MP,8,901.2362957000732,49.808899937328995,NVIDIA GeForce RTX 5080
eSEN-30M-MP,64,11446.004390716553,12859.330073957846,NVIDIA GeForce RTX 5080
eSEN-6M-OC25,8,21.3165283203125,14.8454471170721,NVIDIA GeForce RTX 5080
eSEN-6M-OC25,64,64.73970413208008,1.2243497430769907,NVIDIA GeForce RTX 5080
eSEN-6M-OC25,216,209.13445949554443,4.022802340702795,NVIDIA GeForce RTX 5080
eSEN-6M-OC25,512,473.4457731246948,1.8190110289740669,NVIDIA GeForce RTX 5080
eSEN-6M-OC25,1000,918.4513092041016,12.654259394844036,NVIDIA GeForce RTX 5080
eSEN-6M-OC25,1728,1580.5046558380127,3.8561886654219233,NVIDIA GeForce RTX 5080
eSEN-6M-OC25,2744,2508.236527442932,176.42406713536005,NVIDIA GeForce RTX 5080
