model,num_atoms,atom_name,time,precision,gpu
NequIP-MP-L,24,H20,5.6603193283081055,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,192,H20,13.352930545806885,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,648,H20,31.116211414337158,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,1536,H20,65.94657897949219,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,3000,H20,126.99682712554933,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,5184,H20,209.53456163406372,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,8232,H20,309.53346490859985,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,12288,H20,465.824294090271,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,17496,H20,687.6868724822998,float32,NVIDIA H100 80GB HBM3
NequIP-MP-L,24000,H20,954.0505766868591,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,24,H20,7.955515384674074,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,192,H20,27.341556549072266,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,648,H20,80.92466592788696,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,1536,H20,186.42793893814087,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,3000,H20,348.8339424133301,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,5184,H20,617.4343109130859,float32,NVIDIA H100 80GB HBM3
NequIP-MP-XL,8232,H20,1018.3303356170654,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,24,H20,27.747702598571777,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,192,H20,34.735262393951416,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,648,H20,50.34949779510497,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,1536,H20,154.56442832946777,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,3000,H20,204.68946695327762,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,5184,H20,313.027024269104,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,8232,H20,448.2129216194153,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,12288,H20,612.3558282852173,float32,NVIDIA H100 80GB HBM3
MACE-MP-0,17496,H20,886.2395763397217,float32,NVIDIA H100 80GB HBM3
Orb-v3-cons-inf-omat,24,H20,11.849331855773926,float32,NVIDIA H100 80GB HBM3
Orb-v3-cons-inf-omat,192,H20,31.719422340393066,float32,NVIDIA H100 80GB HBM3
Orb-v3-cons-inf-omat,648,H20,85.01651287078857,float32,NVIDIA H100 80GB HBM3
Orb-v3-cons-inf-omat,1536,H20,182.71706104278564,float32,NVIDIA H100 80GB HBM3
Orb-v3-cons-inf-omat,3000,H20,356.709361076355,float32,NVIDIA H100 80GB HBM3
Orb-v3-cons-inf-omat,5184,H20,616.124677658081,float32,NVIDIA H100 80GB HBM3
Orb-v3-cons-inf-omat,8232,H20,995.1809763908386,float32,NVIDIA H100 80GB HBM3
Orb-v3-cons-inf-omat,12288,H20,1512.3533368110657,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,24,H20,29.58669662475586,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,192,H20,31.903326511383057,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,648,H20,39.08209800720215,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,1536,H20,48.50928783416748,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,3000,H20,58.989083766937256,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,5184,H20,103.33551168441774,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,8232,H20,165.32834768295288,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,12288,H20,243.79873275756836,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,17496,H20,318.26661825180054,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,24000,H20,435.4973316192627,float32,NVIDIA H100 80GB HBM3
SevenNet-l3i5,31944,H20,583.0148458480835,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,24,H20,11.23124361038208,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,192,H20,16.805922985076904,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,648,H20,31.772851943969727,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,1536,H20,65.83534479141235,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,3000,H20,117.6439881324768,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,5184,H20,190.72054624557495,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,8232,H20,313.1910562515259,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,12288,H20,461.4490509033203,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,17496,H20,655.706512928009,float32,NVIDIA H100 80GB HBM3
PET-MAD-S,24000,H20,923.1868982315063,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,24,H20,10.573053359985353,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,192,H20,9.188759326934814,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,648,H20,16.88685417175293,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,1536,H20,36.100876331329346,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,3000,H20,69.35957670211792,float32,NVIDIA H100 80GB HBM3
Nequix-MP-1,5184,H20,118.14227104187012,float32,NVIDIA H100 80GB HBM3
